"FileName","Reason","Destination"
"ADMIN_COMPLETE_INVENTORY.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\ADMIN_COMPLETE_INVENTORY.md"
"BOT_ARMY_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\BOT_ARMY_COMPLETE.md"
"BOT_COUNCIL_REPORT_CHARTER.md","audit-or-report","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\audits\BOT_COUNCIL_REPORT_CHARTER.md"
"C2_4_ASYMMETRIC_VERIFICATION_VALIDATION.md","audit-or-report","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\audits\C2_4_ASYMMETRIC_VERIFICATION_VALIDATION.md"
"C2_COMPLETION_REPORT.md","audit-or-report","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\audits\C2_COMPLETION_REPORT.md"
"CLAIM_FIRST_SIGNUP_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\CLAIM_FIRST_SIGNUP_COMPLETE.md"
"CLEANUP_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\CLEANUP_COMPLETE.md"
"COMMUNITY_AUTHORITY_INTEGRATION_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\COMMUNITY_AUTHORITY_INTEGRATION_COMPLETE.md"
"D2_CLIENT_WIRING_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\D2_CLIENT_WIRING_COMPLETE.md"
"D3_VALIDATION_REPORT.md","audit-or-report","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\audits\D3_VALIDATION_REPORT.md"
"FULL_ROLLOUT_MANIFEST.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\FULL_ROLLOUT_MANIFEST.md"
"INSTITUTIONAL_INTELLIGENCE_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\INSTITUTIONAL_INTELLIGENCE_COMPLETE.md"
"PHASE_1_COMPLETE_AND_LOCKED.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\PHASE_1_COMPLETE_AND_LOCKED.md"
"PHASE_2C_PRIVILEGED_AUTHORITY_CLOSURE_REPORT.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\PHASE_2C_PRIVILEGED_AUTHORITY_CLOSURE_REPORT.md"
"PHASE_2_COUNTY_DATA_ROUTER.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\PHASE_2_COUNTY_DATA_ROUTER.md"
"PHASE_2_IMPLEMENTATION_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\PHASE_2_IMPLEMENTATION_COMPLETE.md"
"PHASE_3E_B_BUILD_KICKOFF.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\PHASE_3E_B_BUILD_KICKOFF.md"
"PHASE_3_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\PHASE_3_COMPLETE.md"
"PHASE_4_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\PHASE_4_COMPLETE.md"
"PHASE_5_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\PHASE_5_COMPLETE.md"
"PILOT_TELEMETRY_WIRING_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\PILOT_TELEMETRY_WIRING_COMPLETE.md"
"PRODUCTION_SIGNOFF_2026-02-24.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\PRODUCTION_SIGNOFF_2026-02-24.md"
"READY_FOR_DEPLOYMENT.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\READY_FOR_DEPLOYMENT.md"
"SCOUT_AND_NAVS_LOCKED.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\SCOUT_AND_NAVS_LOCKED.md"
"SCOUT_BEHAVIOR_COVERAGE_AUDIT.md","audit-or-report","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\audits\SCOUT_BEHAVIOR_COVERAGE_AUDIT.md"
"SCOUT_GOVERNOR_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\SCOUT_GOVERNOR_COMPLETE.md"
"SCOUT_HIERARCHY_LOCKED.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\SCOUT_HIERARCHY_LOCKED.md"
"SCOUT_QUALITY_REPORT.md","audit-or-report","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\audits\SCOUT_QUALITY_REPORT.md"
"SCOUT_VIOLATION_REPORT.md","audit-or-report","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\audits\SCOUT_VIOLATION_REPORT.md"
"STEP2_SCHEMA_SATURATION_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\STEP2_SCHEMA_SATURATION_COMPLETE.md"
"STEP3B_JURISDICTION_AWARE_ROUTING_COMPLETE.md","historical-claim","C:\Users\FlavorGood\Documents\AAATraderCorner\TradeScout\TradeScoutPro\docs\history\2026\STEP3B_JURISDICTION_AWARE_ROUTING_COMPLETE.md"
