external_id,business_name,tagline,description,website,phone,email,address,city,state_code,zip_code,county_name,county_fips,trade_categories,source_url,source_checked_at,official_source_kind,corridor_market,target_segments,jw_stone_fit,bidrock_fit,acquisition_priority
"official_web:riconstone.com:baton-rouge","Ricon Stone","Custom stone countertops in Baton Rouge","Baton Rouge stone shop providing custom granite and marble countertop work for residential and commercial projects.","https://www.riconstone.com/","2253172622","","2859 Needham Dr","Baton Rouge","LA","70814","East Baton Rouge Parish","22033","stone fabricator;countertop installer;granite countertops;marble countertops","https://www.riconstone.com/contact.html","2026-08-22","business_website","baton_rouge","jw_stone_buyer;bidrock_fabricator;bidrock_installer","buyer_candidate","fabricator_installer","tier_1"
"official_web:americangranitebr.com:baton-rouge","American Granite","Stone countertops in Baton Rouge","Baton Rouge countertop company offering granite and other surface selections with fabrication and installation services.","https://americangranitebr.com/","2252480300","salesamgranite@outlook.com","16415 Florida Blvd","Baton Rouge","LA","70819","East Baton Rouge Parish","22033","stone fabricator;countertop installer;granite countertops;quartz countertops","https://americangranitebr.com/contact.html","2026-08-22","business_website","baton_rouge","jw_stone_buyer;bidrock_fabricator;bidrock_installer","buyer_candidate","fabricator_installer","tier_1"
"official_web:granite-inc.com:baton-rouge","Granite Inc.","Stone countertop fabrication in Baton Rouge","Baton Rouge stone countertop showroom serving residential and commercial projects with selection, fabrication and installation.","https://www.granite-inc.com/","2257531504","","8950 Castille Rd","Baton Rouge","LA","70809","East Baton Rouge Parish","22033","stone fabricator;countertop installer;natural stone supplier;granite countertops","https://www.granite-inc.com/","2026-08-22","business_website","baton_rouge","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:dinizdesign.com:baton-rouge","Diniz Design","Custom stone design and installation","Baton Rouge company providing custom countertop design, stone fabrication and installation for residential and commercial spaces.","https://dinizdesign.com/","2257550114","contact@dinizdesign.com","11447 Cloverland Ave","Baton Rouge","LA","70809","East Baton Rouge Parish","22033","stone fabricator;countertop installer;granite countertops;quartz countertops","https://dinizdesign.com/contact/","2026-08-22","business_website","baton_rouge","jw_stone_buyer;bidrock_fabricator;bidrock_installer","buyer_candidate","fabricator_installer","tier_1"
"official_web:menziestone.com:baton-rouge","Menzie Stone Company","Stone products and fabrication in Baton Rouge","Baton Rouge stone company offering natural and manufactured slabs plus design assistance, fabrication, removal, installation and restoration.","https://menziestone.com/","2252757819","sales@menziestone.com","16575 Commercial Ave","Baton Rouge","LA","70816","East Baton Rouge Parish","22033","stone fabricator;countertop installer;natural stone supplier;stone restoration","https://menziestone.com/contact/","2026-08-22","business_website","baton_rouge","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:ascensiongranite.com:prairieville","Ascension Granite & Marble","Full-service stone countertops in Prairieville","Prairieville company handling countertop measurement, design, fabrication and installation for natural and engineered stone.","https://ascensiongranite.com/","2256442231","sales@ascensiongranite.com","38211 Bullion Switch Rd","Prairieville","LA","70769","Ascension Parish","22005","stone fabricator;countertop installer;natural stone supplier;granite countertops;quartz countertops","https://ascensiongranite.com/","2026-08-22","business_website","baton_rouge","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:slagcounters.com:baton-rouge","SLAG Tile & Counters","Stone fabrication and installation in Baton Rouge","Baton Rouge showroom and stoneyard offering natural and engineered stone slabs, tile, countertop fabrication and installation.","https://slagcounters.com/","2253307077","br@slagcounters.com","8741 Greenwell Springs Rd","Baton Rouge","LA","70814","East Baton Rouge Parish","22033","stone fabricator;countertop installer;natural stone supplier;tile supplier","https://slagcounters.com/contact/","2026-08-22","business_website","baton_rouge","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:stone-br.com:airline-baton-rouge","STONE and Cloth — Airline","Stone slabs, fabrication and installation in Baton Rouge","Airline Highway stone location with granite, quartz, marble and quartzite slabs plus countertop fabrication and installation services.","https://stone-br.com/","2252932225","info@stone-br.com","11840 Airline Hwy","Baton Rouge","LA","70817","East Baton Rouge Parish","22033","stone fabricator;countertop installer;natural stone supplier;stone importer","https://stone-br.com/contact/airline-highway/","2026-08-22","business_website","baton_rouge","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:tritonstone.com:baton-rouge","Triton Stone Group — Baton Rouge","Slab and tile gallery in Baton Rouge","Baton Rouge slab and tile gallery supplying stone, sinks, tile and tools to homeowners, designers and fabricators.","https://tritonstone.com/locations/baton-rouge-la/","2253030578","hello@tritonstone.com","9434 S Choctaw Dr","Baton Rouge","LA","70815","East Baton Rouge Parish","22033","natural stone supplier;stone slab distributor;tile supplier;fabricator supply","https://tritonstone.com/locations/baton-rouge-la/","2026-08-22","business_website","baton_rouge","jw_stone_supply_partner;bidrock_supplier","supply_partner_candidate","supplier","tier_2"
"official_web:selectstonellc.com:baton-rouge","Select Stone — Baton Rouge","Natural and engineered stone supplier","Baton Rouge supplier of marble, granite, quartz, quartzite, sinks and stone-care products.","https://www.selectstonellc.com/locations/","2257562274","sales@selectstonellc.com","7050 Exchequer Dr","Baton Rouge","LA","70809","East Baton Rouge Parish","22033","natural stone supplier;stone slab distributor;quartz supplier","https://www.selectstonellc.com/locations/","2026-08-22","business_website","baton_rouge","jw_stone_supply_partner;bidrock_supplier","supply_partner_candidate","supplier","tier_2"
