"FileName","LastWriteTime","Action","Class","ProposedDestination"
"ACTIVATION_LOG.md","2026-03-19T22:25:08","review","needs-human-triage","/docs/canonical or /docs/reference"
"ADMIN_COMPLETE_INVENTORY.md","2026-03-06T19:23:49","move","history","/docs/history"
"AFFILIATE_CERTIFICATION_RUNBOOK.md","2026-02-24T00:40:15","move","runbook","/docs/runbooks"
"AGENTS.md","2026-03-07T15:24:16","keep-root","canonical-or-approved-root","/"
"AI_CAMERA_PLAN.md","2026-03-13T23:38:24","review","needs-human-triage","/docs/canonical or /docs/reference"
"ARCHITECTURE_STATE.md","2026-03-19T22:04:39","keep-root","canonical-or-approved-root","/"
"BOT_ARMY_COMPLETE.md","2026-01-02T00:28:05","move","history","/docs/history"
"BOT_ARMY_INDEX.md","2026-01-02T00:28:05","review","needs-human-triage","TBD"
"BOT_ARMY_QUICK_START.md","2026-01-02T00:28:05","move","runbook","/docs/runbooks"
"BOT_COUNCIL_REPORT_CHARTER.md","2026-01-01T23:27:12","move","audit","/docs/audits"
"C2_4_ASYMMETRIC_VERIFICATION_VALIDATION.md","2026-01-01T03:18:27","move","audit","/docs/audits"
"C2_COMPLETION_REPORT.md","2026-01-01T11:33:29","move","audit","/docs/audits"
"C2_VERIFICATION_GATE_REFACTORS.md","2026-01-01T03:16:37","review","needs-human-triage","TBD"
"CATEGORY_ROUTING_CHARTER.md","2025-12-30T19:22:36","move","reference","/docs/reference"
"CHARCOAL_THEME_SETUP.md","2025-12-24T22:39:33","review","needs-human-triage","TBD"
"CLAIM_FIRST_SIGNUP_COMPLETE.md","2026-01-01T19:30:28","move","history","/docs/history"
"CLEANUP_COMPLETE.md","2025-12-25T18:28:33","move","history","/docs/history"
"COMMUNITY_AUTHORITY_INTEGRATION_COMPLETE.md","2025-12-30T15:18:53","move","history","/docs/history"
"COMMUNITY_ENGINE_EXECUTION_CONTRACT.md","2026-03-08T16:48:04","move","reference","/docs/reference"
"CTA_TRUST_PROOF_APPROVAL_CARD.md","2026-01-09T17:30:02","move","decision","/docs/decisions"
"CUSTOM_DOMAIN_DNS_UX.md","2026-01-05T21:01:57","review","needs-human-triage","TBD"
"CUSTOM_DOMAIN_EDGE_ROUTING.md","2026-01-05T21:01:57","review","needs-human-triage","TBD"
"CUSTOM_DOMAIN_SCHEMA.md","2026-01-05T21:01:57","move","reference","/docs/reference"
"CVS_TRUST_EXECUTION_CONTRACT.md","2026-03-08T16:01:48","move","reference","/docs/reference"
"D1_ONBOARDING_DESIGN.md","2026-01-01T11:35:43","review","needs-human-triage","TBD"
"D2_CLIENT_WIRING_COMPLETE.md","2026-01-01T12:13:23","move","history","/docs/history"
"D2_SANITY_CHECKS.md","2026-01-01T11:39:26","review","needs-human-triage","TBD"
"D3_VALIDATION_REPORT.md","2025-12-30T21:35:25","move","audit","/docs/audits"
