"FileName","LastWriteTime","Recommendation","ProposedDestination","Why"
"ACTIVATION_LOG.md","2026-03-19T22:25:08","review","/docs/canonical or /docs/reference","active-operating-doc-needs-intent"
"AGENTS.md","2026-03-07T15:24:16","keep-root","/","canonical-or-approved-root"
"AI_CAMERA_PLAN.md","2026-03-13T23:38:24","review","/docs/canonical or /docs/reference","active-operating-doc-needs-intent"
"ARCHITECTURE_STATE.md","2026-03-19T22:04:39","keep-root","/","canonical-or-approved-root"
"BOT_ARMY_INDEX.md","2026-01-02T00:28:05","review","/docs/reference or /docs/history","possible-merge-or-reference"
"C2_VERIFICATION_GATE_REFACTORS.md","2026-01-01T03:16:37","review","/docs/reference or /docs/history","possible-merge-or-reference"
"CHARCOAL_THEME_SETUP.md","2025-12-24T22:39:33","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"CTA_TRUST_PROOF_APPROVAL_CARD.md","2026-01-09T17:30:02","move","/docs/decisions","decision-record"
"CUSTOM_DOMAIN_DNS_UX.md","2026-01-05T21:01:57","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"CUSTOM_DOMAIN_EDGE_ROUTING.md","2026-01-05T21:01:57","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"D1_ONBOARDING_DESIGN.md","2026-01-01T11:35:43","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"D2_SANITY_CHECKS.md","2026-01-01T11:39:26","review","/docs/reference or /docs/history","possible-merge-or-reference"
"DECISION_CARD_CONTACT_INTEGRATION.md","2025-12-30T19:42:54","move","/docs/decisions","decision-record"
"DIRECT_CONNECT_VISION.md","2025-12-28T18:02:55","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"enhancement_plan.md","2026-02-22T00:17:06","review","/docs/canonical or /docs/reference","active-operating-doc-needs-intent"
"IMPLEMENTATION_DEFAULTS.md","2026-01-09T17:30:02","review","/docs/reference or /docs/history","possible-merge-or-reference"
"LISA EXPLANATION.md","2026-03-12T22:11:44","review","/docs/canonical or /docs/reference","active-operating-doc-needs-intent"
"LISA_BOT_CRAWL_INTEGRATION.md","2026-03-13T19:45:56","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"MASTER_FEATURE_INDEX.md","2026-02-22T00:17:06","review","/docs/reference or /docs/history","possible-merge-or-reference"
"MASTER_PLAN.md","2026-02-13T00:50:22","keep-root","/","canonical-or-approved-root"
"MESSAGING_AUTHORITY_ENFORCEMENT.md","2025-12-30T19:40:00","review","/docs/reference or /docs/history","possible-merge-or-reference"
"MESSAGING_AUTHORITY_SYSTEM_INDEX.md","2025-12-30T19:47:46","review","/docs/reference or /docs/history","possible-merge-or-reference"
"MESSAGING_AUTHORITY_TEST_MATRIX.md","2025-12-30T19:47:46","review","/docs/reference or /docs/history","possible-merge-or-reference"
"PATCH_QUEUE.md","2026-03-19T22:25:24","review","/docs/canonical or /docs/reference","active-operating-doc-needs-intent"
"PRODUCTION.md","2026-02-24T00:59:57","keep-root","/","canonical-or-approved-root"
"PROOF_MODULE_METRICS_DECISION_CARD.md","2026-01-09T17:30:02","move","/docs/decisions","decision-record"
"QUICK_REFERENCE.md","2025-12-30T19:47:46","keep-root","/","canonical-or-approved-root"
"README.md","2026-03-04T18:12:18","keep-root","/","canonical-or-approved-root"
"README_START_HERE.md","2026-03-04T18:09:28","keep-root","/","canonical-or-approved-root"
"SCOUT_BEHAVIOR_GAP_BACKLOG.md","2026-02-24T23:20:32","review","/docs/canonical or /docs/reference","active-operating-doc-needs-intent"
"SCOUT_ENHANCEMENT_IMPLEMENTATION.md","2026-02-22T00:17:06","review","/docs/reference or /docs/history","possible-merge-or-reference"
"SCOUT_INTENT_COVERAGE.md","2026-02-25T18:23:30","review","/docs/reference or /docs/history","possible-merge-or-reference"
"SCOUT_INTERACTION_REQUIREMENTS.md","2026-01-01T23:23:26","review","/docs/reference or /docs/history","possible-merge-or-reference"
"SCOUT_PERFORMANCE_NOTES.md","2025-12-27T23:29:32","review","/docs/reference or /docs/history","possible-merge-or-reference"
"SCOUT_PHASE_2_IMPLEMENTATION.md","2026-02-22T00:17:06","review","/docs/reference or /docs/history","possible-merge-or-reference"
"SCOUT_STREAMING_DECISION.md","2025-12-25T12:06:28","move","/docs/decisions","decision-record"
"SCOUT_SYSTEM_BLIND_SPOTS.md","2026-02-25T18:26:01","review","/docs/reference or /docs/history","possible-merge-or-reference"
"SCOUT_TILES_VERIFICATION.md","2025-12-25T17:35:29","review","/docs/reference or /docs/history","possible-merge-or-reference"
"SCOUT_TOOL_LAYER.md","2025-12-27T23:17:36","review","/docs/reference or /docs/history","possible-merge-or-reference"
"SCOUT_WELCOME_COPY_DECISION_CARD.md","2026-01-09T17:30:02","move","/docs/decisions","decision-record"
"SECURITY.md","2026-03-04T08:56:08","keep-root","/","canonical-or-approved-root"
"SIDA_INTERNAL_DOCUMENTATION.md","2026-02-22T00:54:54","review","/docs/reference or /docs/history","possible-merge-or-reference"
"SIGNAL_TAXONOMY.md","2026-03-19T22:25:36","review","/docs/canonical or /docs/reference","active-operating-doc-needs-intent"
"SNAPSHOT_MODEL_DESIGN.md","2026-01-01T03:03:38","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"SOD_INTERNAL_DOCUMENTATION.md","2026-02-22T00:54:54","review","/docs/reference or /docs/history","possible-merge-or-reference"
"TEAM_COMMUNICATION_PHASE_3E_EXECUTION.md","2026-01-01T23:08:09","review","TBD","unmapped"
"TECHNICAL_OVERVIEW.md","2026-03-07T15:24:16","review","/docs/reference or /docs/history","possible-merge-or-reference"
"TELEMETRY_SQL_QUERY_PACK.md","2026-01-01T22:50:34","review","TBD","unmapped"
"THEME_LOCK_IMPLEMENTATION.md","2025-12-25T00:43:11","review","/docs/reference or /docs/history","possible-merge-or-reference"
"THEME_QUICK_REFERENCE.md","2025-12-25T00:43:11","review","/docs/reference or /docs/history","possible-merge-or-reference"
"THEME_SYSTEM.md","2025-12-24T22:36:13","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"TRADESCOUT_FOR_ADMINS.md","2025-12-30T15:32:28","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"TRADESCOUT_FOR_DUMMIES_2.0.md","2025-12-30T15:32:28","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"TRADESCOUT_FOUNDER_INPUT.md","2026-03-18T19:34:36","review","/docs/reference or /docs/history","possible-merge-or-reference"
"USER_THEME_CUSTOMIZATION.md","2025-12-24T22:39:33","review","/docs/reference or /docs/runbooks","domain-doc-needs-human-bucket"
"WATCHDOG_INTERNAL_DOCUMENTATION.md","2026-02-22T00:54:54","review","/docs/reference or /docs/history","possible-merge-or-reference"
