"RelativePath","FileName","DirectoryBucket","LastWriteTime","SizeBytes","StatusGuess"
".github\copilot-instructions.md","copilot-instructions.md","other","2026-01-02T00:59:29","10371","unclassified"
".github\copilot-instructions-governor.md","copilot-instructions-governor.md","other","2025-12-30T12:29:02","6803","unclassified"
"ACTIVATION_LOG.md","ACTIVATION_LOG.md","root","2026-03-19T22:25:08","2770","unclassified"
"ADMIN_COMPLETE_INVENTORY.md","ADMIN_COMPLETE_INVENTORY.md","root","2026-03-06T19:23:49","45352","claim"
"AFFILIATE_CERTIFICATION_RUNBOOK.md","AFFILIATE_CERTIFICATION_RUNBOOK.md","root","2026-02-24T00:40:15","4730","runbook"
"AGENTS.md","AGENTS.md","root","2026-03-07T15:24:16","1424","unclassified"
"AI_CAMERA_PLAN.md","AI_CAMERA_PLAN.md","root","2026-03-13T23:38:24","5010","plan"
"ARCHITECTURE_STATE.md","ARCHITECTURE_STATE.md","root","2026-03-19T22:04:39","1959","reference"
"BOT_ARMY_COMPLETE.md","BOT_ARMY_COMPLETE.md","root","2026-01-02T00:28:05","9869","claim"
"BOT_ARMY_INDEX.md","BOT_ARMY_INDEX.md","root","2026-01-02T00:28:05","10108","unclassified"
"BOT_ARMY_QUICK_START.md","BOT_ARMY_QUICK_START.md","root","2026-01-02T00:28:05","5666","runbook"
"BOT_COUNCIL_REPORT_CHARTER.md","BOT_COUNCIL_REPORT_CHARTER.md","root","2026-01-01T23:27:12","21574","audit"
"C2_4_ASYMMETRIC_VERIFICATION_VALIDATION.md","C2_4_ASYMMETRIC_VERIFICATION_VALIDATION.md","root","2026-01-01T03:18:27","10053","audit"
"C2_COMPLETION_REPORT.md","C2_COMPLETION_REPORT.md","root","2026-01-01T11:33:29","18519","audit"
"C2_VERIFICATION_GATE_REFACTORS.md","C2_VERIFICATION_GATE_REFACTORS.md","root","2026-01-01T03:16:37","13046","unclassified"
"CATEGORY_ROUTING_CHARTER.md","CATEGORY_ROUTING_CHARTER.md","root","2025-12-30T19:22:36","9265","reference"
"CHARCOAL_THEME_SETUP.md","CHARCOAL_THEME_SETUP.md","root","2025-12-24T22:39:33","8686","unclassified"
"CLAIM_FIRST_SIGNUP_COMPLETE.md","CLAIM_FIRST_SIGNUP_COMPLETE.md","root","2026-01-01T19:30:28","10575","claim"
"CLEANUP_COMPLETE.md","CLEANUP_COMPLETE.md","root","2025-12-25T18:28:33","3960","claim"
"client\MOBILE_BUILD.md","MOBILE_BUILD.md","other","2025-12-04T23:50:37","924","unclassified"
"COMMUNITY_AUTHORITY_INTEGRATION_COMPLETE.md","COMMUNITY_AUTHORITY_INTEGRATION_COMPLETE.md","root","2025-12-30T15:18:53","6175","claim"
"COMMUNITY_ENGINE_EXECUTION_CONTRACT.md","COMMUNITY_ENGINE_EXECUTION_CONTRACT.md","root","2026-03-08T16:48:04","6873","reference"
"components\README_LEGACY.md","README_LEGACY.md","other","2025-12-29T10:35:49","604","unclassified"
"CTA_TRUST_PROOF_APPROVAL_CARD.md","CTA_TRUST_PROOF_APPROVAL_CARD.md","root","2026-01-09T17:30:02","5143","unclassified"
"CUSTOM_DOMAIN_DNS_UX.md","CUSTOM_DOMAIN_DNS_UX.md","root","2026-01-05T21:01:57","7523","unclassified"
"CUSTOM_DOMAIN_EDGE_ROUTING.md","CUSTOM_DOMAIN_EDGE_ROUTING.md","root","2026-01-05T21:01:57","20155","unclassified"
"CUSTOM_DOMAIN_SCHEMA.md","CUSTOM_DOMAIN_SCHEMA.md","root","2026-01-05T21:01:57","11439","unclassified"
"CVS_TRUST_EXECUTION_CONTRACT.md","CVS_TRUST_EXECUTION_CONTRACT.md","root","2026-03-08T16:01:48","6682","reference"
"D1_ONBOARDING_DESIGN.md","D1_ONBOARDING_DESIGN.md","root","2026-01-01T11:35:43","16840","unclassified"
"D2_CLIENT_WIRING_COMPLETE.md","D2_CLIENT_WIRING_COMPLETE.md","root","2026-01-01T12:13:23","9126","claim"
"D2_SANITY_CHECKS.md","D2_SANITY_CHECKS.md","root","2026-01-01T11:39:26","9676","unclassified"
"D3_VALIDATION_REPORT.md","D3_VALIDATION_REPORT.md","root","2025-12-30T21:35:25","21324","audit"
"data\TradeScout Brain\00_CORE\specs\TRADESCOUT_FULL_SPECIFICATION.md","TRADESCOUT_FULL_SPECIFICATION.md","other","2025-08-23T13:46:54","6493","reference"
"data\TradeScout Brain\00_CORE\tradescout-for-dummies.md","tradescout-for-dummies.md","other","2025-12-26T21:52:21","4340","unclassified"
